======================================================
  RELATÓRIO: ASSALTO À CARAVANA (mission_3)
  Min Heróis: 3
  Inimigos: 3x (HP:6 ATK:2), 2x (HP:10 ATK:3)
======================================================


### ESTÁGIO: Dia 0 ###

[Trios]
| Classe/Grupo                                  | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| Tanque + Ladino + Curandeiro                  | 99.9%              | 0.0%               | 0.1%               | 6.3                | 10.6               | 0.0%               |
| Tanque + Arqueiro + Arqueiro                  | 100.0%             | 0.0%               | 0.0%               | 4.4                | 5.7                | 0.0%               |
| Tanque + Arqueiro + Mago                      | 100.0%             | 0.0%               | 0.0%               | 5.7                | 9.7                | 0.0%               |
| Tanque + Arqueiro + Curandeiro                | 100.0%             | 0.0%               | 0.0%               | 6.0                | 9.8                | 0.0%               |
| Tanque + Mago + Mago                          | 100.0%             | 0.0%               | 0.0%               | 8.2                | 17.7               | 0.0%               |
| Tanque + Mago + Curandeiro                    | 100.0%             | 0.0%               | 0.0%               | 6.5                | 11.6               | 0.0%               |
| Tanque + Curandeiro + Curandeiro              | 99.7%              | 0.0%               | 0.4%               | 8.5                | 17.8               | 0.0%               |
| Ladino + Ladino + Ladino                      | 100.0%             | 0.0%               | 0.0%               | 3.8                | 1.8                | 0.5%               |
| Ladino + Ladino + Arqueiro                    | 100.0%             | 0.0%               | 0.0%               | 3.7                | 1.5                | 0.0%               |
| Ladino + Ladino + Mago                        | 100.0%             | 0.0%               | 0.0%               | 4.6                | 2.6                | 0.1%               |
| Ladino + Ladino + Curandeiro                  | 100.0%             | 0.0%               | 0.0%               | 4.9                | 2.1                | 0.1%               |
| Ladino + Arqueiro + Arqueiro                  | 100.0%             | 0.0%               | 0.0%               | 3.6                | 1.5                | 0.0%               |
| Ladino + Arqueiro + Mago                      | 100.0%             | 0.0%               | 0.0%               | 4.4                | 2.6                | 0.1%               |
| Ladino + Arqueiro + Curandeiro                | 100.0%             | 0.0%               | 0.0%               | 4.7                | 2.4                | 0.0%               |
| Ladino + Mago + Mago                          | 100.0%             | 0.0%               | 0.0%               | 5.1                | 3.4                | 1.4%               |
