======================================================
  RELATÓRIO: EXPEDIÇÃO (mission_2)
  Min Heróis: 2
  Inimigos: 2x (HP:6 ATK:2), 1x (HP:10 ATK:3)
======================================================


### ESTÁGIO: Dia 0 ###

[Duplas]
| Classe/Grupo                                  | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| Mago + Curandeiro                             | 100.0%             | 0.0%               | 0.0%               | 3.8                | 1.8                | 0.2%               |
| Curandeiro + Curandeiro                       | 100.0%             | 0.0%               | 0.1%               | 6.4                | 4.1                | 0.0%               |

[Trios]
| Classe/Grupo                                  | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| --------------------------------------------- | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ |
| Guerreiro + Guerreiro + Guerreiro             | 100.0%             | 0.0%               | 0.0%               | 3.1                | 2.2                | 0.0%               |
| Guerreiro + Guerreiro + Tanque                | 99.9%              | 0.0%               | 0.1%               | 3.9                | 5.2                | 0.2%               |
| Guerreiro + Guerreiro + Ladino                | 100.0%             | 0.0%               | 0.0%               | 2.7                | 1.8                | 0.0%               |
| Guerreiro + Guerreiro + Arqueiro              | 100.0%             | 0.0%               | 0.0%               | 2.5                | 1.4                | 0.0%               |
| Guerreiro + Guerreiro + Mago                  | 100.0%             | 0.0%               | 0.0%               | 3.3                | 2.6                | 0.0%               |
| Guerreiro + Guerreiro + Curandeiro            | 100.0%             | 0.0%               | 0.0%               | 4.9                | 3.4                | 0.0%               |
| Guerreiro + Tanque + Tanque                   | 99.7%              | 0.0%               | 0.3%               | 5.8                | 8.6                | 1.9%               |
| Guerreiro + Tanque + Ladino                   | 100.0%             | 0.0%               | 0.0%               | 3.3                | 2.8                | 0.0%               |
| Guerreiro + Tanque + Arqueiro                 | 100.0%             | 0.0%               | 0.0%               | 3.1                | 1.9                | 0.0%               |
| Guerreiro + Tanque + Mago                     | 100.0%             | 0.0%               | 0.0%               | 3.4                | 2.8                | 0.0%               |
| Guerreiro + Tanque + Curandeiro               | 96.1%              | 0.0%               | 3.9%               | 8.0                | 3.9                | 0.0%               |
| Guerreiro + Ladino + Ladino                   | 100.0%             | 0.0%               | 0.0%               | 2.5                | 1.2                | 0.0%               |
| Guerreiro + Ladino + Arqueiro                 | 100.0%             | 0.0%               | 0.0%               | 2.3                | 1.0                | 0.0%               |
| Guerreiro + Ladino + Mago                     | 100.0%             | 0.0%               | 0.0%               | 3.1                | 2.0                | 0.0%               |
| Guerreiro + Ladino + Curandeiro               | 100.0%             | 0.0%               | 0.0%               | 3.4                | 1.9                | 0.0%               |
| Guerreiro + Arqueiro + Arqueiro               | 100.0%             | 0.0%               | 0.0%               | 2.3                | 0.9                | 0.0%               |
| Guerreiro + Arqueiro + Mago                   | 100.0%             | 0.0%               | 0.0%               | 2.2                | 1.0                | 0.0%               |
| Guerreiro + Arqueiro + Curandeiro             | 100.0%             | 0.0%               | 0.0%               | 3.2                | 1.7                | 0.0%               |
| Guerreiro + Mago + Mago                       | 100.0%             | 0.0%               | 0.0%               | 3.9                | 2.4                | 0.1%               |
